Id,Label,timeset,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,modularity_class,pageranks,componentnumber,strongcompnum
1545943430,,,0,1,1,0,1,1,1,1,1,0,0,0,294,0.000021,0,9454
22248130,,,0,2,2,0,2,2,1,1,1,0,0,0.000004,294,0.000021,0,9455
233686159,,,0,1,1,0,1,1,1,1,1,0,0,0,294,0.000021,0,9456
2339187914,,,0,3,3,0,3,3,1,1,1,0,0,0.000118,294,0.000021,0,9457
3021243839,,,0,1,1,0,1,1,1,1,1,0,0,0,294,0.000021,0,9458
339579099,,,0,3,3,0,3,3,1,1,1,0,0,0.000001,294,0.000021,0,9459
34714323,,,0,1,1,0,1,1,1,1,1,0,0,0,294,0.000021,0,9460
71887607,,,0,2,2,0,2,2,1,1,1,0,0,0.000004,294,0.000021,0,9461
72403284,,,0,5,5,0,6,6,1,1,1,0,0,0.000003,294,0.000021,0,9462
726864551568887808,,,0,1,1,0,1,1,1,1,1,0,0,0,294,0.000021,0,9463
734191985620291584,,,0,1,1,0,1,1,1,1,1,0,0,0,294,0.000021,0,9464
760073375813369856,,,0,3,3,0,3,3,1,1,1,0,0,0.000033,294,0.000021,0,9465
771822886025777152,,,0,2,2,0,3,3,1,1,1,0,0,0.000006,294,0.000021,0,9466
817752307416834050,,,0,1,1,0,1,1,1,1,1,0,0,0,294,0.000021,0,9467
827176356450480128,,,0,1,1,0,1,1,1,1,1,0,0,0,294,0.000021,0,9468
847732138065616897,,,0,1,1,0,1,1,1,1,1,0,0,0,294,0.000021,0,9469
218054626,,,0,5,5,0,5,5,1,1,1,0,0,0.000001,294,0.000021,0,9474
christiansemmet,,,1,0,1,1,0,1,0,0,0,0,0,0,294,0.000024,0,9473
1438616880,,,0,1,1,0,1,1,1,1,1,0,0,0,294,0.000021,0,9475
christianwermke,,,15,0,15,15,0,15,0,0,0,0,0.000011,0,294,0.000149,0,6107
175832800,,,0,3,3,0,3,3,1,1,1,0,0,0.000017,294,0.000021,0,9476
187586969,,,0,1,1,0,1,1,1,1,1,0,0,0,294,0.000021,0,9477
2289597552,,,0,1,1,0,1,1,1,1,1,0,0,0,294,0.000021,0,9478
257195068,,,0,1,1,0,1,1,1,1,1,0,0,0,294,0.000021,0,9479
328453671,,,0,27,27,0,34,34,1,1,1,0,0,0.000389,294,0.000021,0,9481
470626618,,,0,6,6,0,6,6,1,1,1,0,0,0.000081,294,0.000021,0,9482
4856918950,,,0,1,1,0,1,1,1,1,1,0,0,0,294,0.000021,0,9483
492151077,,,0,4,4,0,5,5,1,1,1,0,0,0.000067,294,0.000021,0,9484
538231511,,,0,5,5,0,5,5,1,1,1,0,0,0.000043,294,0.000021,0,9485
5776022,,,0,4,4,0,15,15,1,1,1,0,0,0.000013,294,0.000021,0,9487
782598580485943297,,,0,2,2,0,2,2,1,1,1,0,0,0.000003,294,0.000021,0,9488
90725082,,,0,2,2,0,2,2,1,1,1,0,0,0.000014,294,0.000021,0,9489
christianweyer,,,5,0,5,5,0,5,0,0,0,0,0.000001,0,294,0.000079,0,6703
1640146176,,,0,1,1,0,1,1,1,1,1,0,0,0,294,0.000021,0,9490
2842668227,,,0,2,2,0,2,2,1,1,1,0,0,0.000044,294,0.000021,0,9491
2985328637,,,0,2,2,0,2,2,1,1,1,0,0,0.000037,294,0.000021,0,9492
3852134896,,,0,1,1,0,1,1,1,1,1,0,0,0,294,0.000021,0,9493
1712635123,,,0,1,1,0,1,1,1,1,1,0,0,0.000011,294,0.000021,0,9494
christianwilp,,,6,0,6,6,0,6,0,0,0,0,0.000911,0,294,0.000068,0,2093
19232587,,,0,4,4,0,4,4,1,1,1,0,0,0.000011,294,0.000021,0,9495
34881836,,,0,1,1,0,1,1,1,1,1,0,0,0.000011,294,0.000021,0,9496
57688074,,,0,3,3,0,3,3,1,1,1,0,0,0.000041,294,0.000021,0,9497
christophgiesa,,,7,0,7,8,0,8,0,0,0,0,0.000018,0,294,0.000041,0,151
2364473294,,,0,3,3,0,3,3,1,1,1,0,0,0.00004,294,0.000021,0,9498
1351571382,,,0,6,6,0,6,6,1,1,1,0,0,0.000059,294,0.000021,0,9499
christophnebgen,,,13,0,13,13,0,13,0,0,0,0,0.000024,0,294,0.000074,0,1733
273949905,,,0,3,3,0,3,3,1,1,1,0,0,0.000207,294,0.000021,0,9500
2922774556,,,0,4,4,0,4,4,1,1,1,0,0,0.000034,294,0.000021,0,9501
3663806423,,,0,2,2,0,2,2,1,1,1,0,0,0.000024,294,0.000021,0,9502
3779967809,,,0,1,1,0,1,1,1,1,1,0,0,0,294,0.000021,0,9503
591249617,,,0,5,5,0,5,5,1,1,1,0,0,0.000047,294,0.000021,0,9504
725999593314471936,,,0,5,5,0,6,6,1,1,1,0,0,0.000115,294,0.000021,0,9505
3089888967,,,0,1,1,0,1,1,1,1,1,0,0,0,73,0.000021,73,9507
christophnoack,,,1,0,1,1,0,1,0,0,0,0,0,0,73,0.000038,73,9506
135138848,,,0,8,8,0,8,8,1,1,1,0,0,0.000058,294,0.000021,0,9508
chriszim,,,2,0,2,3,0,3,0,0,0,0,0.000002,0,294,0.000025,0,1195
883334667654529025,,,0,1,1,0,1,1,1,1,1,0,0,0,74,0.000021,74,9510
cicero_online,,,1,0,1,1,0,1,0,0,0,0,0,0,74,0.000038,74,9509
ciffi,,,14,0,14,14,0,14,0,0,0,0,0.002407,0,17,0.000092,0,964
1493265474,,,0,4,4,0,4,4,1,1,1,0,0,0.000051,294,0.000021,0,9511
1544017765,,,0,1,1,0,1,1,1,1,1,0,0,0.000028,17,0.000021,0,9512
2391835236,,,0,10,10,0,12,12,1,1,1,0,0,0.000209,294,0.000021,0,9513
267741757,,,0,1,1,0,1,1,1,1,1,0,0,0.000028,17,0.000021,0,9514
312582893,,,0,1,1,0,1,1,1,1,1,0,0,0.000028,17,0.000021,0,9515
civey_de,,,23,0,23,24,0,24,0,0,0,0,0.000033,0,294,0.000185,0,1386
1465123669,,,0,1,1,0,1,1,1,1,1,0,0,0,294,0.000021,0,9516
14784263,,,0,2,2,0,2,2,1,1,1,0,0,0.000027,294,0.000021,0,9517
166992952,,,0,2,2,0,2,2,1,1,1,0,0,0.000018,294,0.000021,0,9518
19646391,,,0,2,2,0,3,3,1,1,1,0,0,0.000012,294,0.000021,0,9519
2153184371,,,0,1,1,0,1,1,1,1,1,0,0,0,294,0.000021,0,9520
24753826,,,0,1,1,0,1,1,1,1,1,0,0,0,294,0.000021,0,9521
261726912,,,0,2,2,0,2,2,1,1,1,0,0,0.000019,17,0.000021,0,9522
302576057,,,0,4,4,0,4,4,1,1,1,0,0,0.000049,294,0.000021,0,9523
387935277,,,0,1,1,0,1,1,1,1,1,0,0,0,294,0.000021,0,9524
44321749,,,0,2,2,0,2,2,1,1,1,0,0,0.000001,294,0.000021,0,9525
505987093,,,0,2,2,0,2,2,1,1,1,0,0,0.000013,294,0.000021,0,9526
66132864,,,0,5,5,0,7,7,1,1,1,0,0,0.000111,294,0.000021,0,9527
