Id,Label,timeset,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,modularity_class,pageranks,componentnumber,strongcompnum,clustering,eigencentrality
1279213729809391617,,,0,1,1,0,1,1,1,1,1,0,0,0.029574,48,0.00008,0,1676,0,0
1279551504245051393,,,0,3,3,0,3,3,1,1,1,0,0,0.029948,48,0.00008,0,1677,0,0
1280588610404835330,,,0,1,1,0,1,1,1,1,1,0,0,0.029574,48,0.00008,0,1678,0,0
1286702837314064385,,,0,4,4,0,4,4,1,1,1,0,0,0.029807,48,0.00008,0,1680,0,0
1287339379372032000,,,0,1,1,0,1,1,1,1,1,0,0,0.029574,48,0.00008,0,1681,0,0
1289208739099271169,,,0,2,2,0,2,2,1,1,1,0,0,0.030186,48,0.00008,0,1682,0,0
1296379145795010563,,,0,4,4,0,4,4,1,1,1,0,0,0.029859,48,0.00008,0,1683,0,0
1297214246590316544,,,0,1,1,0,1,1,1,1,1,0,0,0.029574,48,0.00008,0,1684,0,0
1297296588075864071,,,0,1,1,0,1,1,1,1,1,0,0,0.029574,48,0.00008,0,1685,0,0
129933722,,,0,1,1,0,1,1,1,1,1,0,0,0.029574,48,0.00008,0,1686,0,0
1299444636,,,0,1,1,0,1,1,1,1,1,0,0,0.029574,48,0.00008,0,1687,0,0
1299468211717632003,,,0,3,3,0,3,3,1,1,1,0,0,0.030456,48,0.00008,0,1688,0,0
1299676671986020352,,,0,1,1,0,1,1,1,1,1,0,0,0.029574,48,0.00008,0,1689,0,0
1299997415618023425,,,0,1,1,0,1,1,1,1,1,0,0,0.029574,48,0.00008,0,1690,0,0
1303065752153591808,,,0,1,1,0,1,1,1,1,1,0,0,0.029574,48,0.00008,0,1691,0,0
1303328405539168259,,,0,1,1,0,1,1,1,1,1,0,0,0.029574,48,0.00008,0,1692,0,0
1303622481283092482,,,0,1,1,0,1,1,1,1,1,0,0,0.029574,48,0.00008,0,1693,0,0
1306155028483276805,,,0,1,1,0,1,1,1,1,1,0,0,0.029574,48,0.00008,0,1694,0,0
1306507139989540864,,,0,3,3,0,3,3,1,1,1,0,0,0.030693,48,0.00008,0,1695,0,0
1306800685,,,0,1,1,0,1,1,1,1,1,0,0,0.029574,48,0.00008,0,1696,0,0
1310593636497870848,,,0,1,1,0,1,1,1,1,1,0,0,0.029574,48,0.00008,0,1697,0,0
1312365803161956354,,,0,3,3,0,3,3,1,1,1,0,0,0.030093,48,0.00008,0,1698,0,0
