Id,Label,timeset,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,modularity_class,pageranks,componentnumber,strongcompnum,clustering,eigencentrality
110728224,,,0,7,7,0,9,9,1,1,1,0,0,0.001484,387,0.00003,0,7,0,0
__investigate__,,,12,0,12,13,0,13,0,0,0,0,0.002417,0,387,0.000112,0,6,0,0.004423
134723768,,,0,8,8,0,12,12,1,1,1,0,0,0.014739,387,0.00003,0,15,0,0
1396795352972505088,,,0,19,19,0,23,23,1,1,1,0,0,0.025015,387,0.00003,0,31,0,0
19494801,,,0,3,3,0,3,3,1,1,1,0,0,0.004117,387,0.00003,0,32,0,0
2734093875,,,0,10,10,0,17,17,1,1,1,0,0,0.018759,387,0.00003,0,38,0,0
292330204,,,0,38,38,0,46,46,1,1,1,0,0,0.036839,387,0.00003,0,68,0,0
385318541,,,0,10,10,0,10,10,1,1,1,0,0,0.021054,387,0.00003,0,71,0,0
4626999742,,,0,2,2,0,2,2,1,1,1,0,0,0.000454,387,0.00003,0,73,0,0
64642542,,,0,1,1,0,1,1,1,1,1,0,0,0.000043,387,0.00003,0,74,0,0
756569436384026625,,,0,6,6,0,6,6,1,1,1,0,0,0.011838,387,0.00003,0,78,0,0
917863768876617729,,,0,2,2,0,2,2,1,1,1,0,0,0.000912,387,0.00003,0,79,0,0
968502825851478018,,,0,4,4,0,4,4,1,1,1,0,0,0.001142,387,0.00003,0,81,0,0
930752300,,,0,2,2,0,2,2,1,1,1,0,0,0.002922,387,0.00003,0,83,0,0
__ths__,,,1,0,1,1,0,1,0,0,0,0,0.000052,0,387,0.000043,0,82,0,0.000369
814223389225263106,,,0,1,1,0,1,1,1,1,1,0,0,0,0,0.00003,1,85,0,0
_allyouneeed,,,1,0,1,1,0,1,0,0,0,0,0,0,0,0.000056,1,84,0,0.000369
1275550628094390273,,,0,2,2,0,3,3,1,1,1,0,0,0.010931,387,0.00003,0,87,0,0
_anke_v,,,1,0,1,1,0,1,0,0,0,0,0.000194,0,387,0.000039,0,86,0,0.000369
1198182791957102592,,,0,1,1,0,1,1,1,1,1,0,0,0.000047,387,0.00003,0,89,0,0
_anthony_r_,,,11,0,11,11,0,11,0,0,0,0,0.002655,0,387,0.000124,0,88,0,0.004055
162769774,,,0,3,3,0,3,3,1,1,1,0,0,0.010992,387,0.00003,0,91,0,0
1960792351,,,0,2,2,0,2,2,1,1,1,0,0,0.0005,387,0.00003,0,92,0,0
222440532,,,0,7,7,0,8,8,1,1,1,0,0,0.013606,387,0.00003,0,95,0,0
22760468,,,0,17,17,0,21,21,1,1,1,0,0,0.019167,387,0.00003,0,106,0,0
2980211794,,,0,2,2,0,2,2,1,1,1,0,0,0.000157,387,0.00003,0,107,0,0
34881706,,,0,15,15,0,17,17,1,1,1,0,0,0.019203,387,0.00003,0,114,0,0
455392322,,,0,33,33,0,51,51,1,1,1,0,0,0.034734,387,0.00003,0,133,0,0
64666298,,,0,20,20,0,24,24,1,1,1,0,0,0.032438,387,0.00003,0,142,0,0
762265140,,,0,19,19,0,23,23,1,1,1,0,0,0.018917,387,0.00003,0,150,0,0
89255465,,,0,1,1,0,1,1,1,1,1,0,0,0.000047,387,0.00003,0,151,0,0
1079106678635876352,,,0,2,2,0,2,2,1,1,1,0,0,0.000153,387,0.00003,0,154,0,0
_derheld_,,,8,0,8,8,0,8,0,0,0,0,0.000696,0,387,0.000105,0,153,0,0.002949
1241435432220532742,,,0,7,7,0,7,7,1,1,1,0,0,0.001511,387,0.00003,0,159,0,0
1244963958,,,0,3,3,0,3,3,1,1,1,0,0,0.01199,387,0.00003,0,160,0,0
173201205,,,0,3,3,0,6,6,1,1,1,0,0,0.01108,387,0.00003,0,161,0,0
2248461500,,,0,6,6,0,14,14,1,1,1,0,0,0.011919,387,0.00003,0,164,0,0
477249334,,,0,2,2,0,2,2,1,1,1,0,0,0.000153,387,0.00003,0,165,0,0
778163888433065985,,,0,5,5,0,5,5,1,1,1,0,0,0.002476,387,0.00003,0,168,0,0
92386731,,,0,1,1,0,1,1,1,1,1,0,0,0.000012,387,0.00003,0,169,0,0
1403056772005482499,,,0,15,15,0,20,20,1,1,1,0,0,0.019561,387,0.00003,0,175,0,0
_electroproject,,,2,0,2,2,0,2,0,0,0,0,0.000347,0,387,0.000057,0,174,0,0.000737
2235621204,,,0,1,1,0,1,1,1,1,1,0,0,0.000006,387,0.00003,0,176,0,0
136289916,,,0,4,4,0,4,4,1,1,1,0,0,0.000004,387,0.00003,0,181,0,0
_fkaminski,,,1,0,1,1,0,1,0,0,0,0,0,0,387,0.000036,0,180,0,0.000369
1009734674,,,0,1,1,0,1,1,1,1,1,0,0,0.000007,180,0.00003,0,183,0,0
_friedrichmerz,,,94,0,94,94,0,94,0,0,0,0,0.000403,0,180,0.001262,0,182,0,0.034648
101548192,,,0,12,12,0,15,15,1,1,1,0,0,0.000083,180,0.00003,0,195,0,0
1026773320400818183,,,0,5,5,0,6,6,1,1,1,0,0,0.000074,180,0.00003,0,200,0,0
1028249904999788544,,,0,1,1,0,1,1,1,1,1,0,0,0.000007,180,0.00003,0,201,0,0
1039184175159488517,,,0,1,1,0,1,1,1,1,1,0,0,0.000007,180,0.00003,0,202,0,0
1080209896589721601,,,0,1,1,0,1,1,1,1,1,0,0,0.000007,180,0.00003,0,203,0,0
108045031,,,0,3,3,0,3,3,1,1,1,0,0,0.00007,180,0.00003,0,204,0,0
1088701314,,,0,4,4,0,5,5,1,1,1,0,0,0.004785,387,0.00003,0,205,0,0
1122756440580603905,,,0,1,1,0,1,1,1,1,1,0,0,0.000007,180,0.00003,0,206,0,0
1131229779997409281,,,0,1,1,0,1,1,1,1,1,0,0,0.000007,180,0.00003,0,207,0,0
1135714176,,,0,3,3,0,11,11,1,1,1,0,0,0.000032,180,0.00003,0,208,0,0
1136733194965979136,,,0,1,1,0,1,1,1,1,1,0,0,0.000007,180,0.00003,0,209,0,0
1145077549,,,0,1,1,0,1,1,1,1,1,0,0,0.000007,180,0.00003,0,210,0,0
1148644974570946560,,,0,1,1,0,1,1,1,1,1,0,0,0.000007,180,0.00003,0,211,0,0
1150848342508879883,,,0,4,4,0,4,4,1,1,1,0,0,0.000021,180,0.00003,0,214,0,0
1153613046390099969,,,0,1,1,0,1,1,1,1,1,0,0,0.000007,180,0.00003,0,215,0,0
1158642693544775681,,,0,10,10,0,11,11,1,1,1,0,0,0.000094,180,0.00003,0,222,0,0
1159067874339762177,,,0,5,5,0,5,5,1,1,1,0,0,0.000032,180,0.00003,0,225,0,0
1163110141694291968,,,0,1,1,0,1,1,1,1,1,0,0,0.000007,180,0.00003,0,226,0,0
1182378068,,,0,5,5,0,5,5,1,1,1,0,0,0.000032,180,0.00003,0,229,0,0
1208756512899899393,,,0,8,8,0,8,8,1,1,1,0,0,0.000046,180,0.00003,0,237,0,0
1209496723757895680,,,0,9,9,0,9,9,1,1,1,0,0,0.000062,180,0.00003,0,243,0,0
1212844360200359936,,,0,2,2,0,2,2,1,1,1,0,0,0.000007,180,0.00003,0,245,0,0
1223685072047542272,,,0,3,3,0,3,3,1,1,1,0,0,0.000039,180,0.00003,0,246,0,0
1233110164804440072,,,0,3,3,0,3,3,1,1,1,0,0,0.00001,180,0.00003,0,248,0,0
1255241242683887622,,,0,2,2,0,2,2,1,1,1,0,0,0.000007,180,0.00003,0,250,0,0
1259058000519671809,,,0,6,6,0,9,9,1,1,1,0,0,0.00003,180,0.00003,0,255,0,0
127969710,,,0,1,1,0,1,1,1,1,1,0,0,0.000007,180,0.00003,0,256,0,0
1281880519693742080,,,0,3,3,0,3,3,1,1,1,0,0,0.000008,180,0.00003,0,258,0,0
1291763617352896512,,,0,13,13,0,18,18,1,1,1,0,0,0.000077,180,0.00003,0,268,0,0
1302697044486828032,,,0,5,5,0,6,6,1,1,1,0,0,0.000088,180,0.00003,0,271,0,0
1311898397201379328,,,0,1,1,0,1,1,1,1,1,0,0,0.000007,180,0.00003,0,272,0,0
1323602560079532032,,,0,18,18,0,23,23,1,1,1,0,0,0.000327,180,0.00003,0,286,0,0
1345099781543260160,,,0,7,7,0,7,7,1,1,1,0,0,0.000073,180,0.00003,0,289,0,0
1345490616856281091,,,0,6,6,0,6,6,1,1,1,0,0,0.000169,180,0.00003,0,292,0,0
1350807318708056064,,,0,8,8,0,8,8,1,1,1,0,0,0.000083,180,0.00003,0,296,0,0
1364667649448435713,,,0,2,2,0,2,2,1,1,1,0,0,0.000075,180,0.00003,0,297,0,0
1369600444964691970,,,0,1,1,0,1,1,1,1,1,0,0,0.000007,180,0.00003,0,298,0,0
1383418843763073027,,,0,6,6,0,6,6,1,1,1,0,0,0.000339,180,0.00003,0,301,0,0
1384526989227446272,,,0,1,1,0,1,1,1,1,1,0,0,0.000007,180,0.00003,0,302,0,0
1385520235453849600,,,0,14,14,0,14,14,1,1,1,0,0,0.001766,180,0.00003,0,309,0,0
1400750417638793216,,,0,14,14,0,22,22,1,1,1,0,0,0.000226,180,0.00003,0,312,0,0
1411657439188074498,,,0,3,3,0,3,3,1,1,1,0,0,0.00007,180,0.00003,0,313,0,0
1416139342968414214,,,0,1,1,0,1,1,1,1,1,0,0,0.000007,180,0.00003,0,314,0,0
1428847674422403072,,,0,2,2,0,2,2,1,1,1,0,0,0.000047,180,0.00003,0,315,0,0
1431959537175695368,,,0,7,7,0,13,13,1,1,1,0,0,0.000075,180,0.00003,0,316,0,0
1432043130254209032,,,0,2,2,0,2,2,1,1,1,0,0,0.000008,180,0.00003,0,317,0,0
1441522333894774787,,,0,2,2,0,2,2,1,1,1,0,0,0.000011,180,0.00003,0,318,0,0
163415824,,,0,1,1,0,1,1,1,1,1,0,0,0.000007,180,0.00003,0,319,0,0
1883253186,,,0,2,2,0,2,2,1,1,1,0,0,0.000047,180,0.00003,0,320,0,0
18977248,,,0,1,1,0,1,1,1,1,1,0,0,0.000007,180,0.00003,0,321,0,0
1917663662,,,0,3,3,0,3,3,1,1,1,0,0,0.010957,180,0.00003,0,323,0,0
20715858,,,0,2,2,0,2,2,1,1,1,0,0,0.000009,180,0.00003,0,324,0,0
210808629,,,0,6,6,0,6,6,1,1,1,0,0,0.00001,180,0.00003,0,327,0,0
2160879808,,,0,1,1,0,1,1,1,1,1,0,0,0.000007,180,0.00003,0,328,0,0
2165326617,,,0,1,1,0,1,1,1,1,1,0,0,0.000007,180,0.00003,0,329,0,0
2172509085,,,0,3,3,0,3,3,1,1,1,0,0,0.00007,180,0.00003,0,330,0,0
2207267525,,,0,2,2,0,2,2,1,1,1,0,0,0.000007,180,0.00003,0,331,0,0
2285390059,,,0,5,5,0,5,5,1,1,1,0,0,0.000028,180,0.00003,0,332,0,0
2711107895,,,0,1,1,0,1,1,1,1,1,0,0,0.000007,180,0.00003,0,333,0,0
2721878217,,,0,6,6,0,7,7,1,1,1,0,0,0.000083,180,0.00003,0,335,0,0
2726147654,,,0,1,1,0,1,1,1,1,1,0,0,0.000007,180,0.00003,0,336,0,0
2727010593,,,0,1,1,0,1,1,1,1,1,0,0,0.000007,180,0.00003,0,337,0,0
27859844,,,0,1,1,0,1,1,1,1,1,0,0,0.000007,180,0.00003,0,338,0,0
2904048473,,,0,1,1,0,1,1,1,1,1,0,0,0.000007,180,0.00003,0,339,0,0
2981656487,,,0,15,15,0,25,25,1,1,1,0,0,0.00015,180,0.00003,0,344,0,0
308212534,,,0,7,7,0,9,9,1,1,1,0,0,0.000168,180,0.00003,0,346,0,0
390677950,,,0,8,8,0,8,8,1,1,1,0,0,0.000236,180,0.00003,0,351,0,0
3911147343,,,0,2,2,0,2,2,1,1,1,0,0,0.000008,180,0.00003,0,352,0,0
4195967285,,,0,4,4,0,4,4,1,1,1,0,0,0.00001,180,0.00003,0,354,0,0
4210092389,,,0,2,2,0,2,2,1,1,1,0,0,0.00001,180,0.00003,0,355,0,0
43357176,,,0,1,1,0,1,1,1,1,1,0,0,0.000007,180,0.00003,0,356,0,0
557678150,,,0,9,9,0,9,9,1,1,1,0,0,0.000075,180,0.00003,0,359,0,0
617093358,,,0,17,17,0,25,25,1,1,1,0,0,0.000241,180,0.00003,0,372,0,0
